"Assay_Type_s","BioSample_s","Experiment_s","LibrarySelection_s","LibrarySource_s","LoadDate_s","MBases_l","MBytes_l","Organism_s","Run_s","SRA_Sample_s","Sample_Name_s","cell_type_s","ethnicity_s","source_name_s","strain_s","supplementary_file_s","AssemblyName_s","BioProject_s","Center_Name_s","Consent_s","InsertSize_l","LibraryLayout_s","Library_Name_s","Platform_s","ReleaseDate_s","SRA_Study_s","g1k_analysis_group_s","g1k_pop_code_s","source_s"
"RNA-Seq","SAMN02195141","SRX300873","cDNA","TRANSCRIPTOMIC","2015-10-31",3230,2270,"Homo sapiens","SRR893046","SRS440525","GSM1160112","oocyte","Han Chinese","oocyte","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195142","SRX300874","cDNA","TRANSCRIPTOMIC","2015-10-31",3688,2603,"Homo sapiens","SRR893047","SRS440526","GSM1160113","oocyte","Han Chinese","oocyte","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195143","SRX300875","cDNA","TRANSCRIPTOMIC","2015-10-31",2731,1899,"Homo sapiens","SRR893048","SRS440527","GSM1160114","oocyte","Han Chinese","oocyte","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195144","SRX300876","cDNA","TRANSCRIPTOMIC","2015-10-31",4354,3083,"Homo sapiens","SRR893049","SRS440528","GSM1160115","pronucleus","Han Chinese","pronucleus","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195145","SRX300877","cDNA","TRANSCRIPTOMIC","2015-10-31",3713,2544,"Homo sapiens","SRR893050","SRS440529","GSM1160116","pronucleus","Han Chinese","pronucleus","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195146","SRX300878","cDNA","TRANSCRIPTOMIC","2015-10-31",4228,3000,"Homo sapiens","SRR893051","SRS440530","GSM1160117","pronucleus","Han Chinese","pronucleus","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195147","SRX300879","cDNA","TRANSCRIPTOMIC","2015-10-31",4123,2895,"Homo sapiens","SRR893052","SRS440531","GSM1160118","zygote","Han Chinese","zygote","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195148","SRX300880","cDNA","TRANSCRIPTOMIC","2015-10-31",3548,2487,"Homo sapiens","SRR893053","SRS440532","GSM1160119","zygote","Han Chinese","zygote","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195149","SRX300881","cDNA","TRANSCRIPTOMIC","2015-10-31",3837,2720,"Homo sapiens","SRR893054","SRS440533","GSM1160120","2-cell blastomere","Han Chinese","2-cell blastomere","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
"RNA-Seq","SAMN02195150","SRX300882","cDNA","TRANSCRIPTOMIC","2015-10-31",3226,2157,"Homo sapiens","SRR893055","SRS440534","GSM1160121","2-cell blastomere","Han Chinese","2-cell blastomere","<not provided>","Human_expression_mat.txt","<not provided>","PRJNA189204","GEO","public",0,"PAIRED","<not provided>","ILLUMINA","2015-07-22","SRP018525","<not provided>","<not provided>","<not provided>"
